line,SVG_score,canopy_height,canopy_volume_index,canopy_coverage,ExGR,NGRDI
PI425529,2.688615058,0.361567297,0.512154669,0.178836542,0.178610579,0.113309685
PI425533,3.360935535,0.363379434,0.519777902,0.200098651,0.208711323,0.124105661
PI425534,2.53954408,0.322222661,0.36527371,0.155544766,0.157496475,0.101296525
PI425535,3.132670539,0.382550632,0.480129338,0.189654331,0.192228126,0.118188905
PI425536,3.13377923,0.383854011,0.490608377,0.188125897,0.22064872,0.134656601
PI425537,2.922777298,0.332899527,0.456713793,0.197413573,0.210434014,0.124343823
PI425544,3.406156978,0.381345167,0.546153596,0.202006842,0.202437948,0.118675834
PI425546,2.87452755,0.354809602,0.487973727,0.20297039,0.217893687,0.124309485
PI425548,2.731320421,0.348025369,0.413863254,0.169373103,0.182928765,0.119211542
PI425551,3.561962802,0.38785005,0.575872225,0.20923939,0.221529927,0.132218967
PI425552,2.670449459,0.313984014,0.304268368,0.164784223,0.174101181,0.107281377
PI425554,3.383757139,0.347333581,0.54798481,0.20548033,0.221546612,0.127309824
PI425557,3.16996112,0.370296519,0.455689171,0.177285463,0.181502508,0.112347421
PI425569,3.44272302,0.396437693,0.604035767,0.199219244,0.181986932,0.115267823
PI425570,2.611311621,0.332484896,0.409456261,0.170761773,0.199715398,0.121348744
PI425573,2.759762909,0.369459938,0.480330549,0.175261419,0.185173793,0.117251037
PI425575,3.136021264,0.348885084,0.486760022,0.189916199,0.211238878,0.12934132
PI425577,2.775880851,0.359223748,0.414414134,0.164886431,0.182342882,0.114737004
PI425580,3.07945402,0.395083896,0.594493603,0.197100679,0.185870343,0.115065515
PI425581,3.042824607,0.385273795,0.487355486,0.182526455,0.197264747,0.116056018
PI425582,3.314342983,0.354806366,0.501464207,0.210254497,0.203313457,0.122821095
PI425583,2.78006994,0.362835882,0.482945161,0.18160296,0.187762211,0.120104934
PI425585,2.998796303,0.35622961,0.481487021,0.185049114,0.218478896,0.130864185
PI425586,2.662752121,0.332837612,0.357563844,0.157003699,0.177273216,0.115019292
PI425587,2.885151926,0.341757413,0.489727064,0.203556244,0.226749837,0.133346372
PI425591,2.847578108,0.352554648,0.417548377,0.16204937,0.203688959,0.130270915
PI425592,2.902064961,0.335527279,0.466990827,0.196519418,0.188720559,0.128302925
PI425593,3.117555661,0.3632862,0.535701574,0.195923004,0.205917529,0.123411557
PI425594,3.366871738,0.400942697,0.617272419,0.209357846,0.200022087,0.11630301
PI425599,3.798232924,0.401209055,0.608244411,0.210105214,0.211627649,0.13119597
PI425610,3.346356736,0.378437408,0.538064023,0.198231632,0.216834829,0.125331772
PI425634,2.896292441,0.319193403,0.419934945,0.188976276,0.174292765,0.112682499
PI425646,3.333971917,0.389546126,0.625068032,0.22149737,0.214570338,0.131153567
PI425725,3.405802049,0.361717265,0.548109635,0.213845961,0.208136335,0.124344285
PI425765,2.702444068,0.335506101,0.413675346,0.172954428,0.189687364,0.117263385
PI425766,2.645675574,0.342491128,0.438360663,0.183765593,0.173223897,0.114556431
PI425770,2.950482235,0.311091383,0.366522336,0.171700556,0.178431869,0.113974138
